sentiment,text,selected_text
positive,happy mother's dayyy!, happy mother's dayyy!
negative,@bcran we'll see craig might just hog u guys! haha i work till 10 tonight anyways, hog
negative,oh my god. my twitter feed has been taken over by geeky stuff! @bmw @brampitolo @kodinlanewave @kenkeiter so funny! i wish i understood, oh my god. my twitter feed has been taken over by geeky stuff! @bmw @brampitolo @kodinlanewave @kenkeiter so funny! i wish i understood
neutral,home for lunch &amp; double free. work 5-8. so much school work, home for lunch &amp; double free. work 5-8. so much school work
neutral,"@billyboss couldn't see one, but i'm probably blind  do you have a link to it?"," @billyboss couldn't see one, but i'm probably blind do you have a link to it?"
neutral,"@hassmanm nemï¿½m zdrojï¿½ky mozilly ani perl, takï¿½e z?stanu u svï¿½ vï¿½ry ve schopnosti ohlohu"," @hassmanm nemï¿½m zdrojï¿½ky mozilly ani perl, takï¿½e z?stanu u svï¿½ vï¿½ry ve schopnosti ohlohu"
negative,"at millys having some yummy asian food! haha. and listening to let go, such a sad song", sad song
positive,@johncmayer maybe she's funny like a jester, funny
positive,@enobytes  drank a 2003 i guess that doesnt count?, i guess that doesnt count?
positive,"@tommcfly my eyes are starting to hurt! it's getting super late. but i just gotta keep tweeting. haha! philippines tour, please, tom?", my eyes are starting to hurt!
negative,unemployment office sucks, sucks
positive,i'm off to costco in a bit to print off more photos for my photobook, i'm off to costco in a bit to print off more photos for my photobook
negative,not made it to work  couldn't get up feelin blurgh, couldn't get up feelin blurgh
negative,new phone pwns, new phone pwns
positive,is surprising momma bear, surprising
neutral,@djsleeper u in sd this weekend? lets grab some tacos tomorrow or somethin if u free, @djsleeper u in sd this weekend? lets grab some tacos tomorrow or somethin if u free
positive,there we go... apparently i wasn't properly setting the datetime from a twitter response before.  need a test for that!, there we go... apparently i wasn't properly setting the datetime from a twitter response before. need a test for that!
neutral,@yeshenia, @yeshenia
negative,"@dwhelan i've wondered about rake to.  the client has made it clear .net only, don't force devs to learn a new lang  #agile #ccnet", don't force
negative,@patzilla83 i can't have any., i can't have any.
negative,@bhuto given the way kunal khemu etc. starrers turn out..there is a high probability of it being 'shit' rather than 'niche'!,there is a high probability of it being 'shit'
negative,wah. i'm gonna miss bowie people  esp you alyanna bondoc &lt;3 and cesar. d:&lt; i dunno if i can survive without my sosa!, miss
positive,@dahveed76 um your latest tweet sounds like something bad has gone down., um your latest tweet sounds like something bad has gone down.
neutral,@nmyster thought you might be interested in @tweetphoto http://tweetphoto.com. see who's viewing your photos!, @nmyster thought you might be interested in @tweetphoto http://tweetphoto.com. see who's viewing your photos!
positive,lobbying in twitter! here too!!  yuk! gettin rid of groupies ;), yuk!
neutral,no westin discounts?  @animeexpo anime expoï¿½ 2009 provides additional discounts for hotels: http://anime-expo.org/?p=2396, no westin discounts? @animeexpo anime expoï¿½ 2009 provides additional discounts for hotels: http://anime-expo.org/?p=2396
negative,mad tired. but it's the hols! i miss chomp chomp terribly!, mad tired. but it's the hols! i miss chomp chomp terribly!
neutral,"you need to remember the data the customer has entered on previous pages when they use the back button. so, so many don't do this"," you need to remember the data the customer has entered on previous pages when they use the back button. so, so many don't do this"
neutral,@kingofthelab i'm sleeping on the wooden couch tonight!, @kingofthelab i'm sleeping on the wooden couch tonight!
negative,@datboyxo oh wow...hope he's ok  u take him 2 the vet?, oh wow...hope he's ok
neutral,@librariansti it's like the library equivalent of &quot;it's 5 o'clock somewhere.&quot; someone else in on the ref desk somewhere, @librariansti it's like the library equivalent of &quot;it's 5 o'clock somewhere.&quot; someone else in on the ref desk somewhere
positive,watching &quot;knowing&quot; and lovin it, lovin it
neutral,@tazz602 you're a big man for embracing your tears, @tazz602 you're a big man for embracing your tears
positive,i'm going to town on these two dinner rolls and some dark chocolate  yummmm, yummmm
negative,i have new work coming out, i have new work coming out
negative,@pixonu its ok mate i stayed in as well  losers aren't we, losers
negative,about to embark on a large tour of bars for a project.  hopefully i won't die from alcohol poisoning, hopefully i won't die from alcohol poisoning
positive,"@cetras lol, anyway ni shi wai guo ren"," lol,"
negative,@angryyoungman2 thought you might be interested in @tweetphoto http://tweetphoto.com. see who's viewing your photos!, @angryyoungman2 thought you might be interested in @tweetphoto http://tweetphoto.com. see who's viewing your photos!
negative,i don't wanna work over the weekend, i don't wanna work
neutral,another bank holiday out of the office, another bank holiday out of the office
neutral,"yeah, i made the python conversion script for the provider's extranet in 1 day (3 expected). a way to promote #python at #jcdecaux"," yeah, i made the python conversion script for the provider's extranet in 1 day (3 expected). a way to promote #python at #jcdecaux"
negative,i'm so sleep deprived but it's to hot to sleep., i'm so sleep deprived but it's to hot to sleep.
negative,i need to be held...  gnite., i need to be held... gnite.
positive,i have problems wih pizza..ii love it too much..i'm so addicted to pizza  and dot dot curve. &gt;, love it too much..
neutral,"@tommcfly &gt;&gt;i donï¿½t live in uk, so i canï¿½t say what i think..."," @tommcfly &gt;&gt;i donï¿½t live in uk, so i canï¿½t say what i think..."
neutral,@creyes middle school and elem. high schools will remain open for those who need credits to graduate. cali is broken, @creyes middle school and elem. high schools will remain open for those who need credits to graduate. cali is broken
neutral,@claudiuvoicu supposed to be back sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  &amp; want bruno!, @claudiuvoicu supposed to be back sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week &amp; want bruno!
negative,happy mother's day mm mums!!!! hope you all have a lovely day  #mamam, happy mother's day mm mums!!!! hope you all have a lovely day
negative,last official wvbr dj shift ever! sad day   listen online at wvbr.com., sad day
positive,"@butterflydi i'll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all"," willing to help you out,"
neutral,can't wait to go to bed, can't wait to go to bed
neutral,finishing session handbooks - just health and safety and manageing discipline and grievance to add!!, finishing session handbooks - just health and safety and manageing discipline and grievance to add!!
positive,boooo animal collective is already sold out.  guess i'll be missing that show, boooo animal collective is already sold out. guess i'll be missing that show
negative,@mvpubliclibrary don't tape hold slips to items !! just ripped a digipack cd case, ripped
positive,@skeetonmytwitts its slimy but its fun, fun
positive,really fucking loved him, really fucking loved him
neutral,you can't please everybody.  http://plurk.com/p/x32rz, you can't please everybody. http://plurk.com/p/x32rz
negative,"@juicystar007 i can't get in, i'm in a waiting room"," i can't get in,"
positive,i right here...don't worry,don't worry
negative,@ursusfidelis sry about tweeting so much, sry
positive,@akashathekitty i've read about those. they're cool. you should definitely get one, they're cool.
positive,@jonasbrothers http://twitpic.com/3bnas - can't wait to actually hear what he's playing  love you nick x, love
negative,waaah.. i can't open my eyes wider! i wanna go back to sleep but i can't sleep properly.., i can't sleep properly..
positive,i loudly said something &amp; my coworker replied &quot;i dont know brian klemm! but even i love brian klemm!&quot;  ( @klemm_0_tronic ), love
positive,@toplessrobot those aren't even the old dolls...they are the new ones that look like sailor moon!, @toplessrobot those aren't even the old dolls...they are the new ones that look like sailor moon!
negative,"@rove1974 lol @ the cards. so very, very wrong"," so very, very wrong"
neutral,bored  and sleepy and listening to music :p doing project :s, bored and sleepy and listening to music :p doing project :s
